JOSÉ ALBERTO ALFARO JIMÉNEZ,WILLIAM ALVARADO BOGANTES,MARTA ARABELA ARAUZ MORA,EDGARDO VINICIO ARAYA SIBAJA,MICHAEL JAKE ARCE SANCHO,JORGE ARTURO ARGUEDAS MORA,CARLOS MANUEL ARGUEDAS RAMÍREZ,MARVIN ATENCIO DELGADO,RONALD CALVO CANALES,JOSÉ FRANCISCO CAMACHO LEIVA,JAVIER FRANCISCO CAMBRONERO ARGUEDAS,EPSY ALEJANDRA CAMBELL BARR,SURAY CARRILLO GUEVARA,MAUREEN CECILIA CLARKE CLARKE,FRANKLIN CORELLA VARGAS,NATALIA DÍAS QUINTANA,ABELINO ESQUIVEL QUESADA,MAUREEN FALLAS FALLAS,LIGIA ELENA FALLAS RODRÍGUEZ,LAURA MARÍA GARRO SÁNCHEZ,ROLANDO GONZÁLEZ ULLOA,MARCELA GUERRERO CAMPOS,OTTO GUEVARA GUTH,DANNY HAYLING CARCACHE,CARLOS ENRIQUE HERNÁNDEZ ÁLVAREZ,NIDIA MARÍA JIMÉNEZ VÁSQUEZ,JUAN LUIS JIMÉNEZ SUCCAR,OLIVIER IBO JIMÉNEZ ROJAS,JOHNNY LEIVA BADILLA,ÓSCAR LÓPEZ,ALEXANDRA LORIA BEECHE,MARLENE MADRIGAL FLORES,EMILIA MOLINA CRUZ,RONNY MONGE SALAS,STEVEN NÚNEZ RÍMOLA,PATRICIA MORA CASTELLANOS,VÍCTOR HUGO MORALES ZAPATA,RAFAEL ÁNGEL ORTIZ FÁBREGA,SANDRA PISZK FEINZILBER,KARLA VANESSA PRENDAS MATARRITA,CARMEN QUESADA SANTAMARÍA,PAULINA MARÍA RAMÍREZ PORTUGUEZ,JOSÉ ANTONIO RAMÍREZ AGUILAR,GONZALO ALBERTO RÁMIREZ ZAMORA,ROSIBEL RAMOS MADRIGAL,MARCO VINICIO REDONDO QUIRÓS,MARIO REDONDO POVEDA,JORGE RODRÍGUEZ ARAYA,JULIO ANTONIO ROJAS ASTORGA,SILVIA VANESSA SÁNCHEZ VANEGAS,ARACELLI SEGURA RETANA,OTTÓN SOLÍS FALLAS,LORELLY TREJOS SALAS,HUMBERTO VARGAS CORRALES,GERARDO VARGAS VARELA,GERARDO VARGAS ROJAS,LUIS ALBERTO VÁSQUEZ CASTRO,PLENARY
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-112.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-113.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-114.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-115.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-116.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-117.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-118.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-119.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-120.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-121.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-122.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-123.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-124.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-125.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-126.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-127.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-128.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-129.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-130.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-131.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-132.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-133.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-134.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-135.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-136.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-137.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-138.docx
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-2014-PLENARIO-SESION-139.docx
